"","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"560","FOOD INDUSTRIES INC.","INGREDION INC.","US",2,"MODIFIED STARCH",1870856,18387,101.748844292163,"United States"
"561","TRANS-MILLENNIUM MERCANTILE CORPORA","CEREAL TECH PTE LTD.","SG",2,"OTHERS",318067,1500,212.044666666667,"Singapore"
"562","JULRICK MARKETING","FLOWCRETE ASIA SDN. BHD.","MY",2,"OTHERS",1669703,14480,115.310980662983,"Malaysia"
"563","STT PHILIPPINES INC","ELKEM SILICONES SHANGHAI CO.,","CN",2,"OTHERS",6593427,12000,549.45225,"China"
"564","CJ PHILIPPINES INC","BEIJING SMILE FEED SCI. & TECH","CN",2,"OTHERS",341527,3000,113.842333333333,"China"
"565","BRENNTAG INGREDIENTS INC.","ROQUETTE ITALIA SPA","IT",2,"OTHERS",1108842,19000,58.3601052631579,"Italy"
"566","NUTRI-ASIA INC.","ROQUETTE ITALIA SPA","IT",2,"MODIFIED STARCH",2680168,57000,47.0204912280702,"Italy"
"567","NUTRI-ASIA INC.","ROQUETTE ITALIA SPA","NL",2,"MODIFIED STARCH",886399,19000,46.6525789473684,"Netherlands"
"568","KINTETSU LOGISTICS(PHILIPPINES)INC.","SHIRAISHI CALCIUM (SHANGHAI) INTERN","CN",2,"OTHERS",1850510,10800,171.343518518519,"China"
"569","KINPO ELECTRONICS (PHILIPPINES) INC","ATOM CELS SINGAPORE PTE LTD","SG",2,"OTHERS",535577,150,3570.51333333333,"Singapore"
"570","TRANS-MILLENNIUM MERCANTILE CORPORA","CEREALTECH PTE LTD","SG",2,"OTHERS",426162,3219,132.389561975769,"Singapore"
"571","GCP APPLIED TECHNOLOGIES","HENKEL (THAILAND) LTD.","TH",2,"OTHERS",348599,6040,57.7150662251656,"Thailand"
"572","SHRIKE INTERNATIONAL TRADING","SHENZHEN DEFOO PACKING","CN",2,"TAPE",341341,4420,77.2264705882353,"China"
"573","H B FULLER PHILS INC","H.B FULLER ADHESIVE MALASYIA SDN BH","MY",2,"OTHERS",1444982,11600,124.567413793103,"Malaysia"
"574","TOTAL COLOURS CORPORATION","COLOSPERSE DYES &","IN",2,"OTHERS",347426,3000,115.808666666667,"India"
"575","EDWARD KELLER (PHILS.) INC.","PB LEINER ARGENTINA SA","AR",2,"GELATIN",13225238,40000,330.63095,"Argentina"
"576","ALTERNATIVES FOOD CORP","QINGDAO LANKANG INTERNATIONAL CO.,","TR",2,"PROTEIN",9717943,175000,55.5311028571429,"Turkey"
"577","AMPERE RESOURCES CORPORATION","BDP INTERNATIONAL","SG",2,"SEAL",1000760,1754,570.558722919042,"Singapore"
"578","WILLS INTERNATIONAL SALES CORP.","NOVOZYMES MALAYSIA SDN BHD","MY",2,"ENZYME",10302169,8507,1211.02256964852,"Malaysia"
"579","AB HEINEKEN PHILIPPINES INC.","NOVOZYMES MALAYSIA SDN BHD","MY",2,"ENZYME",543044,1320,411.39696969697,"Malaysia"
"580","YAZAKI-TORRES MANUFACTURING INC.","YAZAKI  CORPORATION","JP",2,"SEAL",1779331,1486,1197.39636608345,"Japan"
"581","DKSH PHILIPPINES INC.","DMV","NL",2,"CASEINATE",2512678,5000,502.5356,"Netherlands"
"582","HILTI PHILIPPINES INC.","HILTI AG","DE",2,"OTHERS",1548997,4747,326.310722561618,"Germany"
"583","FISCHER PH ASIA INC","FISHERWERKE GMBH & CO KG","DE",2,"EPOXY",4222882,7604,555.350078905839,"Germany"
"584","TRANS WORLD TRADING COMPANY","LORD CORPORATION","US",2,"ADHESIVE",766736,948,808.793248945148,"United States"
"585","RFM CORPORATION","ENGRAIN LLC","US",2,"OTHERS",12734804,5000,2546.9608,"United States"
"586","3M PHILS. INC.","3M SHANGHAI SPECIALTY MATERIAL","CN",2,"OTHERS",409891,1600,256.181875,"China"
"587","JANGHO GROUP CO LTD PHILIPPINE BRAN","TWO NINE SIX O TRADING PTE.LTD","SG",2,"OTHERS",286778,598,479.561872909699,"Singapore"
"588","SUCERE FOODS CORPORATION","ROUSSELOT (M) SDN BHD","BR",2,"GELATIN",7061151,20000,353.05755,"Brazil"
"589","RIVERDALE CONFECTIONERY INDUSTRY IN","ROUSSELOT SDN BHD","SG",2,"GELATIN",5980905,20000,299.04525,"Singapore"
"590","HOMEBASE TRADING & GEN MERCHANDISE","PUNING JUN HAO YU TRADING CO., LTD.","CN",2,"GLUE",834668,12210,68.3593775593776,"China"
"591","HOMEBASE TRADING & GEN MERCHANDISE","PUNING JUN HAO YU TRADING CO LTD","CN",2,"GLUE",765710,7800,98.1679487179487,"China"
"592","LEELENG COMMERCIAL INC","LABORATORIES RAYT S.A.U.","ES",2,"GLUE",386292,2660,145.222556390977,"Spain"
"593","PRINT4U INC.","DING SHUNG MACHINERY CO LTD","TW",2,"GLUE",1100245,18400,59.7959239130435,"Taiwan"
"594","STT PHILIPPINES INC","STT INC.","JP",2,"GLUE",6939191,9072,764.902006172839,"Japan"
"595","SYNERGY SALES INTERNATIONAL CORP","XIAMEN QICHEN IMPORT & EXPORT","CN",2,"GLUE",631246,22000,28.693,"China"
"596","DECCAN IMPORT & EXPORT TRADING","YIWU XUZHAN IMP. AND EXP. CO., LTD","CN",2,"GLUE",287282,9310,30.8573576799141,"China"
"597","GREAT BUILDERSHOME CORPORATION","YIWU JUZHAN IMP & EXP CO LTD","CN",2,"GLUE",262498,2670,98.3138576779026,"China"
"598","MAGCARGO TRADING","DONGGUAN YIZHENGTONG IMPORT &","CN",2,"GLUE",413174,4189,98.6330866555264,"China"
"599","BRENNTAG INGREDIENTS INC.","DUPONT NUTRITION BIOSCIENCES APS","DK",2,"OTHERS",2275727,2940,774.056802721088,"Denmark"
"600","H B FULLER PHILS INC","H. B. FULLER ADHESIVES MALAYSIA SDN","MY",2,"ADHESIVE",1097163,9440,116.224894067797,"Malaysia"
"601","DESK TOP BAGS PHILIPPINES INC.","GOLDEN COMPANY LIMITED","VN",2,"OTHERS",409787,201,2038.74129353234,"Vietnam"
"602","SIIX LOGISTICS PHILS. INC.","SIIX CORP, TOKYO HEADQUARTER","JP",2,"HARDENER",401981,1461,275.140999315537,"Japan"
"603","ELI LILLY (PHILIPPINES) INC","ELI LILLY AND COMPANY","US",2,"OTHERS",5753556,18144,317.105158730159,"United States"
"604","PURECHEM CORPORATION","B.V. NEDERLANDSE INDUSTRIE VAN","NL",2,"OTHERS",4693379,9600,488.893645833333,"Netherlands"
"605","WISDOM MFG CO LTD","SHENZHEN IDEAL FRIENDSHIP IMPORT &","CN",2,"ADHESIVE",895281,25000,35.81124,"China"
"606","BOSTIK PHILIPPINES INC.","JIANGSU BOSTIK ADHESIVE CO. LTD","CN",2,"ADHESIVE",2501924,15400,162.462597402597,"China"
"607","BOSTIK PHILIPPINES INC.","JIANGSU BOSTIK ADHESIVE CO. LTD","CN",2,"OTHERS",2880524,13192,218.353850818678,"China"
"608","HILTI PHILIPPINES INC.","HILTI CORPORATION","SG",2,"OTHERS",13616517,49080,277.435146699267,"Singapore"
"609","AKAGI GOMU PHILS. CORP.","AKAGI CO., LTD.","JP",2,"OTHERS",519019,2454,211.499185004075,"Japan"
"610","SIGLO LEATHERWARE MANUFACTURING INC","SHEN ZHEN GNG CO LTD.","CN",2,"ADHESIVE",321815,546,589.404761904762,"China"
"611","CONSOLIDATED ADHESIVES INC","ADTEK MALAYSIA SDN BHD","MY",2,"GLUE",1785305,17000,105.017941176471,"Malaysia"
"612","BOSTIK PHILIPPINES INC.","BOSTIK FINDLEY CHINA CO. LTD.","CN",2,"ADHESIVE",1228217,9700,126.620309278351,"China"
"613","LLOYD LABORATORIES INC.","INGREDION SINGAPORE PTE LTD.","SG",2,"MODIFIED STARCH",1054006,3065,343.884502446982,"Singapore"
"614","COMMODITY QUEST INC.","DEZHOU RUIKANG FOOD CO., LTD","CN",2,"PROTEIN",11598954,1e+05,115.98954,"China"
"615","COMMODITY QUEST INC.","SHANDONG GUSHEN IMPORT EXPORT CO LT","CN",2,"PROTEIN",5790807,49400,117.222813765182,"China"
"616","BORAL PLASTERBOARD PHILIPPINES INC.","USG BORAL SDN BHD","MY",2,"OTHERS",2668511,164192,16.2523813584097,"Malaysia"
"617","PROMESSO BUSINESS SOLUTIONS CORP","BHOLE BABA MILK FOOD INDUSTRIES LTD","IN",2,"OTHERS",1404350,4000,351.0875,"India"
"618","MULTIFLEX RNC PHILS. INC.","CHAN SIEH ENTERPRISES CO LTD","TW",2,"GLUE",1895568,45000,42.1237333333333,"Taiwan"
"619","LINTEC PHILIPPINES (PEZA) INC.","LINTEC (THAILAND) CO., LTD.","TH",2,"ADHESIVE",4372810,7240,603.979281767956,"Thailand"
"620","LINTEC PHILIPPINES (PEZA) INC.","LINTEC CORPORATION","JP",2,"ADHESIVE",9301559,18235,510.093720866466,"Japan"
"621","LINTEC PHILIPPINES (PEZA) INC.","PT. LINTEC INDONESIA","ID",2,"ADHESIVE",7719153,28956,266.582159138003,"Indonesia"
"622","LINTEC PHILIPPINES (PEZA) INC.","LINTEC SINGAPORE PTE LTD","SG",2,"ADHESIVE",2578610,5402,477.343576453165,"Singapore"
"623","LINTEC PHILIPPINES (PEZA) INC.","LINTEC (THAILAND) CO.,LTD.","TH",2,"ADHESIVE",6468652,12478,518.40455201154,"Thailand"
"624","HARDWARE & INDUSTRIAL SOLUTIONS INC","THREE BOND MANUFACTURING (THAI","TH",2,"OTHERS",1437684,8000,179.7105,"Thailand"
"625","HANKYU HANSHIN LOGISTICS PHILS INC.","ITATSU CO LTD","JP",2,"LOCTITE",422305,438,964.166666666667,"Japan"
"626","HENKEL PHILIPPINES INC.","HENKEL CHEMICAL TECHNOLOGIES","CN",2,"OTHERS",2987874,18000,165.993,"China"
"627","HENKEL PHILIPPINES INC.","HENKEL SINGAPORE PTE LTD","SG",2,"OTHERS",984363,489,2013.01226993865,"Singapore"
"628","BRENNTAG INGREDIENTS INC.","SOLVAY USA INC","US",2,"OTHERS",657224,816,805.421568627451,"United States"
"629","B/E AEROSPACE B.V. - (PHIL BRANCH)","MAGNOLIA ADVANCED","US",2,"OTHERS",6966724,2605,2674.36621880998,"United States"
"630","JAMES HARDIE PHILIPPINES INC","VIVACITY ENGINEERING PTY LTD","AU",2,"OTHERS",547938,2150,254.85488372093,"Australia"
"631","ELEMATEC ANGELES INC.","ELEMATEC CORPORATION","JP",2,"MODIFIED STARCH",1223699,1209,1012.15798180314,"Japan"
"632","JEBSEN & JESSEN INGREDIENTS (P)","VEDAN VIETNAM ENTERPRISE CORP.","VN",2,"MODIFIED STARCH",6495672,180000,36.0870666666667,"Vietnam"
"633","JEBSEN & JESSEN INGREDIENTS (P)","VEDAN VIETNAM ENTERPRISE CORP","VN",2,"MODIFIED STARCH",1130840,36000,31.4122222222222,"Vietnam"
"634","BATAAN 2020 INC.","SMS CORPORATION CO., LTD","TH",2,"MODIFIED STARCH",1128632,34000,33.1950588235294,"Thailand"
"635","UNSU CORPORATION","ROQUETTE ITALIA SPA","IT",2,"MODIFIED STARCH",4635470,48000,96.5722916666667,"Italy"
"636","INGREDION PHILIPPINES INC.","NATIONAL STARCH AND CHEMICAL","TH",2,"MODIFIED STARCH",1602014,33950,47.1874521354934,"Thailand"
"637","THE PUREFOODS HORMEL COMPANY INC","GENERAL STARCH LTD","TH",2,"MODIFIED STARCH",7039584,280500,25.0965561497326,"Thailand"
"638","THE PUREFOODS HORMEL COMPANY INC","SMS CORPORATION CO.LTD","TH",2,"MODIFIED STARCH",3054493,120000,25.4541083333333,"Thailand"
"639","THE PUREFOODS HORMEL COMPANY INC","SMS CORPORATION CO LTD","TH",2,"MODIFIED STARCH",1221459,48000,25.4470625,"Thailand"
"640","RAM FOOD PRODUCTS INC","SINO THAI STARCH CO LTD","TH",2,"MODIFIED STARCH",952686,18000,52.927,"Thailand"
"641","ENASIA IMPORT EXPORT CORPORATION","GREEN SIAM MARKETING CO LTD","VN",2,"MODIFIED STARCH",696602,19000,36.6632631578947,"Vietnam"
"642","HENKEL PHILIPPINES INC.","NATIONAL STARCH AND CHEMICAL","TH",2,"MODIFIED STARCH",966242,18000,53.6801111111111,"Thailand"
"643","NUTRI-ASIA INC.","TATE & LYLE NETHERLANDS B.V.","NL",2,"MODIFIED STARCH",7626310,158000,48.2677848101266,"Netherlands"
"644","SHIMANO PHILIPPINES INC","SHIMANO SINGAPORE PTE LTD","SG",2,"MOLD",2225565,591,3765.7614213198,"Singapore"
"645","CAE ENTERPRISES PHILS INC","ROVSKI SDN BHD","MY",2,"MODIFIED STARCH",839657,5500,152.664909090909,"Malaysia"
"646","INGREDION PHILIPPINES INC.","NATIONAL STARCH AND CHEMICAL","TH",2,"OTHERS",11816390,232150,50.8998061598105,"Thailand"
"647","NUTRA TECH BIOPHARMA INC.","BIOPOTON PTY LTD","AU",2,"ENZYME",4513269,26960,167.406120178042,"Australia"
"648","MULTI-LINE STRUCTURES CORP","SHANDONG FEIDU ADHESIVE TECHNO","CN",2,"SEAL",2911740,17405,167.293306521115,"China"
"649","WU KONG SINGAPORE PTE. LTD. PHIL.","DOW CORNING CDW","US",2,"OTHERS",1101083,1640,671.392073170732,"United States"
"650","EDWARD KELLER (PHILS.) INC.","INGREDION GERMANY GMBH","DE",2,"OTHERS",4829443,40000,120.736075,"Germany"
"651","JEBSEN & JESSEN INGREDIENTS (P)","DANISCO SINGAPORE PTE LTD","SG",2,"OTHERS",3363588,4052,830.105626850938,"Singapore"
"652","MASTERTECH INTERGROUPPE INC.","EFTEC THAILAND CO LTD","TH",2,"SEAL",452629,5500,82.2961818181818,"Thailand"
"653","TANIKA PHILIPPINES CORPORATION","SHENZHEN TONGXIADA IMPORT AND EXPOR","CN",2,"OTHERS",708324,287,2468.02787456446,"China"
"654","PURATOS PHILIPPINES INC.","PURATOS NV","BE",2,"OTHERS",3240513,9200,352.229673913043,"Belgium"
"655","TOYOTA TSUSHO PHILS. CORP.","TOYOTSU CHEMIPLAS CORPORATION","JP",2,"OTHERS",783664,1864,420.420600858369,"Japan"
"656","WIN FORMULA INC","CONNWAY CO. LTD","TW",2,"PLASTISOL",382578,910,420.415384615385,"Taiwan"
"657","WU KONG SINGAPORE PTE. LTD. PHIL.","NEDEX CHEMIE DEUTSCHLAND GMBH","DE",2,"OTHERS",3593825,17357,207.053350233335,"Germany"
"658","WU KONG SINGAPORE PTE. LTD. PHIL.","NEDEX CHEMIE DEUTSCHLAND GMBH","NL",2,"OTHERS",3159243,15936,198.245670180723,"Netherlands"
"659","GRESERR CONTRACTORS & BUILDERS INC","WELONS INDUSTRIAL CO., LTD","CN",2,"SEAL",387134,2140,180.903738317757,"China"
"660","FOOD INDUSTRIES INC.","ROQUETTE ITALIA SPA","IT",2,"OTHERS",1747443,18000,97.0801666666667,"Italy"
"661","GCK INTERNATIONAL INC","UZIN UTZ CONSTRUCTION MATERIALS SHA","CN",2,"ADHESIVE",561351,3720,150.900806451613,"China"
"662","THE PUREFOODS HORMEL COMPANY INC","ESSENTIA PROTIEN SOLUTIONS","GB",2,"PROTEIN",3374963,22400,150.667991071429,"United Kingdom"
"663","ALTERNATIVES FOOD CORP","SCANFLAVOUR A/S","DK",2,"PROTEIN",1992753,43000,46.3430930232558,"Denmark"
"664","THE FINIX CORPORATION","SHENZHEN GUANGHUATAI IMPORT &","CN",2,"OTHERS",713550,3596,198.428809788654,"China"
"665","UNILEVER RFM ICE CREAM INC","AVOCA INC","US",2,"PROTEIN",5715275,2013,2839.1828117238,"United States"
"666","INGREDION PHILIPPINES INC.","INGREDION INC. 5 WESTBROOK","US",2,"OTHERS",1580429,19041,83.0013654745024,"United States"
"667","MAKATI DEVELOPMENT CORPORATION","VANJOIN GROUP","CN",2,"OTHERS",313968,34515,9.09656671012603,"China"
"668","KK CONVERTER PHILS INC.","KUO TAI RESIN INDUSTRIAL CO LTD","TW",2,"OTHERS",2448557,67744,36.1442636986301,"Taiwan"
"669","MONDELEZ PHILIPPINES INC","FONTERRA LIMITED","NZ",2,"OTHERS",21668323,61450,352.617135882832,"New Zealand"
"670","FISCHER PH ASIA INC","FISCHERWERKE GMBH & CO KG","DE",2,"OTHERS",278376,938,296.776119402985,"Germany"
"671","UNIVERSAL ROBINA CORPORATION","DSM NUTRITIONAL PRODUCTS ASIA","SG",2,"OTHERS",11334685,25000,453.3874,"Singapore"
"672","BOUNTY FRESH FOODS INC","ADISSEO ASIA PACIFIC PTE LTD","FR",2,"OTHERS",15503745,12552,1235.16132887189,"France"
"673","SCAD SERVICES (S) PTE. LTD. - PHIL","YOSHIMOTO TRADING CO., LTD.","JP",2,"GLUE",454625,896,507.393973214286,"Japan"
"674","BOSTIK PHILIPPINES INC.","BOSTIK AUSTRALIA PTY LTD","AU",2,"SEAL",5116600,31360,163.156887755102,"Australia"
"675","IK PLASTIC COMPOUND PHILS. INC","NIPPON PIGMENT CO LTD","JP",2,"OTHERS",760274,203,3745.1921182266,"Japan"
"676","PILIPINAS KYOHRITSU INC.","SUMITOMO WIRING SYSTEMS, LTD","JP",2,"SEAL",2597380,1881,1380.85061137693,"Japan"
"677","SUMI PHILIPPINES WIRING SYSTEMS","SUMITOMO WIRING SYSTEMS LTD","JP",2,"SEAL",281427,249,1130.22891566265,"Japan"
"678","A DIMAGUILA ENTERPRISES INC","YOKOHAMA RUBBER THAILAND CO., LTD.","TH",2,"SEAL",536931,795,675.384905660377,"Thailand"
"679","A DIMAGUILA ENTERPRISES INC","ASIA KENDY CO. LTD.","TH",2,"SEAL",2478412,29390,84.3284110241579,"Thailand"
"680","EUROTILES INDUSTRIAL CORPORATION","SEL DIS TIC VE KIMYA SANAYI.AS","TR",2,"SEAL",461362,1932,238.800207039337,"Turkey"
"681","SIKA PHILIPPINES INC.","SIKA KIMIA SDN BHD LOT 689","MY",2,"OTHERS",1030895,9300,110.848924731183,"Malaysia"
"682","BOSTIK PHILIPPINES INC.","BOSTIK B.V.","NL",2,"ADHESIVE",488048,1942,251.312049433574,"Netherlands"
"683","ASIAN COATINGS PHILS.INC.","SGC TRADING  CO LTD","TH",2,"OTHERS",4334392,21720,199.557642725599,"Thailand"
"684","FRABELLE CORPORATION","QUINGDAO LANKANG INTERNATIONAL","CN",2,"PROTEIN",2657998,22000,120.818090909091,"China"
"685","FRABELLE CORPORATION","QINGDAO LANKANG","CN",2,"PROTEIN",2657997,22000,120.818045454545,"China"
"686","CARGILL TEXTURIZING SOLUTIONS","CARGILL INCORPORATED","US",2,"STARCH",2465469,31752,77.6476757369614,"United States"
"687","TEMIC AUTOMOTIVE (PHILS.) INC.","DOW CORNING SINGAPORE PTE LTD","SG",2,"ADHESIVE",653634,909,719.069306930693,"Singapore"
"688","PROCTER & GAMBLE PHILIPPINES INC","NOVOZYMES A/S KROGSHOJVEJ 36","DK",2,"ECLIPSE",4225616,5000,845.1232,"Denmark"
"689","PROCTER & GAMBLE PHILIPPINES INC","NOVOZYMES (CHINA) BIOTECHNOLOGY CO","CN",2,"MEDLEY",2492319,6000,415.3865,"China"
"690","S.D. TRADING CORPORATION","SUNSTAR CHEMICAL (THAILAND)","TH",2,"SEAL",958978,24080,39.8246677740864,"Thailand"
"691","BOSTIK PHILIPPINES INC.","CORKJOINT SINGAPORE PTD LTD","SG",2,"OTHERS",2566030,12420,206.604669887279,"Singapore"
"692","BRENNTAG INGREDIENTS INC.","SOLAE LLC","US",2,"OTHERS",3878602,18690,207.522846441948,"United States"
"693","BRENNTAG INGREDIENTS INC.","NOVOZYMES CHINA BIOTECHNOLOGY","CN",2,"ENZYME",4016965,10800,371.941203703704,"China"
"694","BRENNTAG INGREDIENTS INC.","ROQUETTE FRERES","FR",2,"OTHERS",3229028,30000,107.634266666667,"France"
"695","CM ABAYAN TRADING","YIWU JUZHAN IMP & EXP","CN",2,"TAPE",584433,6106,95.7145430723878,"China"
"696","CM ABAYAN TRADING","HUIZHOU BAISHUNXIN TRADE CO LT","CN",2,"ADHESIVE",292457,1170,249.963247863248,"China"
"697","HENKEL PHILIPPINES INC.","HENKEL JAPAN LTD","JP",2,"OTHERS",3075385,8000,384.423125,"Japan"
"698","NBC (PHILIPPINES) CAR TECHNOLOGY","NBC CORPORATION","JP",2,"THERMELT",352198,300,1173.99333333333,"Japan"
"699","INTER-GLOBAL GROUP DEVELOPMENT CORP","BEIJING MECKEY ENGINEERING CO.","CN",2,"OTHERS",2571122,21712,118.419399410464,"China"
"700","GOLDEN WHEEL INDUSTRIAL MFG CORP","DOW EUROPE GMBH","FR",2,"THIXON",546466,3000,182.155333333333,"France"
"701","SCG MARKETING PHILIPPINES INC.","SCG TRADING CO., LTD","TH",2,"OTHERS",472381,23000,20.5383043478261,"Thailand"
"702","KINTETSU LOGISTICS(PHILIPPINES)INC.","MOMENTIVE PERFORMANCE MATERIAL","JP",2,"OTHERS",3749116,569,6588.95606326889,"Japan"
"703","EC STRUCTURAL COMPOSITES INC","Fyfe Asia PTE ltd","SG",2,"EPOXY",1587080,5208,304.73886328725,"Singapore"
"704","BASF PHILIPPINES INC","BASF MALAYSIA SDN BHD","MY",2,"OTHERS",449368,12658,35.5007110127982,"Malaysia"
"705","PHILTECH GLASS INDUSTRIES CORP","ROYAL ADHESIVE & SEALANTS","US",2,"ADHESIVE",4839037,12278,394.122576966933,"United States"
"706","SUPERL PHILIPPINES INC","SUPERL HOLDINGS LTD","HK",2,"ADHESIVE",302545,725,417.303448275862,"Hong Kong SAR China"
"707","PERPETUAL PRIME MFG. INC.","BASIC ADHESIVES GROUP","HK",2,"ADHESIVE",609456,1845,330.328455284553,"Hong Kong SAR China"
"708","BOSTIK PHILIPPINES INC.","POLYCOAT PRODUCTS","US",2,"SEAL",10401674,76736,135.551423060884,"United States"
"709","HBW ENTERPRISES COMPANY","NINGBO SUNLIT INTERNATIONAL CO., LT","CN",2,"GLUE",2110495,53995,39.0868598944347,"China"
"710","KASAMAHAN KAIBIGAN TRADING","NINGBO SUNLIT INTERNATIONAL CO., LT","CN",2,"GLUE",384141,10530,36.4806267806268,"China"
"711","EAST ASIA LABORATORIES INC.","NATURAL REMEDIES PRIVATE LTD","IN",2,"OTHERS",3693720,23258,158.81503138705,"India"
"712","CHEMICAL RESEARCH PRODUCTS","PROTECH INTERNATIONAL","US",2,"ENZYME",797662,957,833.502612330199,"United States"
"713","STMICROELECTRONICS INC.","HENKEL KOREA LTD","KR",2,"OTHERS",3171321,154,20592.9935064935,"South Korea"
"714","WATERKONSULT EQUIPT & SVCS INC","BIOWISH TECHNOLOGIES INC","US",2,"OTHERS",607400,291,2087.2852233677,"United States"
"715","PSI TECHNOLOGIES INC.","HENKEL TECHNOLOGIES (KOREA) LTD","KR",2,"OTHERS",1410668,34,41490.2352941177,"South Korea"
"716","ACBEL POLYTECH PHILIPPINES INC.","GREAT GUM ENTERPRISE CO. LTD","TW",2,"ADHESIVE",458583,39,11758.5384615385,"Taiwan"
"717","PSI TECHNOLOGIES INC.","STARCKE GMBH & CO","DE",2,"ADHESIVE",705580,193,3655.85492227979,"Germany"
"718","ELEMATEC PHILIPPINES INC","ELEMATEC CORPORATION","JP",2,"ADHESIVE",6894115,1829,3769.33570256971,"Japan"
"719","VISHAY (PHILS.) INC.","SOLEPOXY INC","US",2,"EPOXY",608632,304,2002.07894736842,"United States"
"720","TANDUAY DISTILLERS INC.","BIO-SYS INDICORP","IN",2,"ENZYME",724042,200,3620.21,"India"
"721","CIRTEK ELECTRONICS CORPORATION","CIRTEK SEMICONDUCTOR INC","US",2,"EPOXY",286921,18,15940.0555555556,"United States"
"722","CIRTEK ELECTRONICS CORPORATION","CIRTEK SEMICONDUCTOR INC","US",2,"ADHESIVE",1842152,91,20243.4285714286,"United States"
"723","ELEMATEC PHILIPPINES INC","ASEC CO., LTD.","TW",2,"ADHESIVE",5056970,290,17437.8275862069,"Taiwan"
"724","MITSUMI PHILIPPINES INC.","HERAEUS ZHAOYUAN CHANGSU ELECT","CN",2,"ADHESIVE",1186968,223,5322.7264573991,"China"
"725","MAXTRONIX INC.","DYMAX ASIA PACIFIC PTE. LTD","SG",2,"ADHESIVE",850429,31,27433.1935483871,"Singapore"
"726","IM DIGITAL PHIL INC","SAKAI TRADING COMPANY LIMITED NDS","JP",2,"ADHESIVE",560450,103,5441.26213592233,"Japan"
"727","TDK PHILIPPINES CORPORATION","THREE BOND SINGAPORE PTE LTD","JP",2,"ADHESIVE",396569,10,39656.9,"Japan"
"728","ASIAN TRANSMISSION CORPORATION","THREE BOND SINGAPORE PTE LTD","JP",2,"ADHESIVE",390084,180,2167.13333333333,"Japan"
"729","APM TECHNICA AG","EPOXY TECHNOLOGY","US",2,"ADHESIVE",1755299,56,31344.625,"United States"
"730","DYSON ELECTRONICS PTE LTD PH BRANCH","HENKEL SINGAPORE PTE LTD","SG",2,"ADHESIVE",2585317,288,8976.79513888889,"Singapore"
"731","M UBIS INC","UBIS CO., LTD","KR",2,"ADHESIVE",296324,25,11852.96,"South Korea"
"732","B/E AEROSPACE B.V. - (PHIL BRANCH)","KLX AEROSPACE","US",2,"ADHESIVE",1484526,800,1855.6575,"United States"
"733","SUNPOWER PHILIPPINES MANUFACTURING","MER ASIA LIMITED","HK",2,"ADHESIVE",410317,73,5620.78082191781,"Hong Kong SAR China"
"734","SANYO DENKI PHILIPPINES INC.","NABELIN CO LTD","JP",2,"ADHESIVE",2469893,197,12537.5279187817,"Japan"
"735","FUTABA CORPORATION OF THE PHIL","FUTABA CORPORATION","JP",2,"ADHESIVE",6276297,405,15497.0296296296,"Japan"
"736","HARVESTAR TECHNOLOGIES INC","HARVESTAR SOLUTIONS LIMITED","CN",2,"ADHESIVE",23399173,1099,21291.3312101911,"China"
"737","MAXTRONIX LAGUNA INC","DYMAX ASIA PACIFIC PTE. LTD","US",2,"GLUE",346657,13,26665.9230769231,"United States"
"738","IM DIGITAL PHIL INC","IM CO. LTD","KR",2,"ADHESIVE",2348112,185,12692.4972972973,"South Korea"
"739","IM DIGITAL PHIL INC","IM CO LTD.","KR",2,"ADHESIVE",1342203,142,9452.1338028169,"South Korea"
"740","CEBU AIR INC. / CEBU PACIFIC AIR","ZODIAC AEROSPACE","FR",2,"ADHESIVE",517113,12,43092.75,"France"
"741","EPSON PRECISION(PHILIPPINES) INC.","HITACHI CHEMICAL ASIA PACIFIC","JP",2,"OTHERS",336368,14,24026.2857142857,"Japan"
"742","SIIX LOGISTICS PHILS. INC.","SIIX CORP","JP",2,"OTHERS",1203903,44,27361.4318181818,"Japan"
"743","DKSH PHILIPPINES INC.","DSM FOOD SPECIALTIES","FR",2,"OTHERS",323215,180,1795.63888888889,"France"
"744","ELEMATEC ANGELES INC.","ELEMATEC CORPORATION","JP",2,"BOND",424029,36,11778.5833333333,"Japan"
"745","IM DIGITAL PHIL INC","DONGGUAN IM DIGITAL ELECTRONIC","HK",2,"OTHERS",6396447,290,22056.7137931034,"Hong Kong SAR China"
"746","FUJI ELECTRIC PHILIPPINES INC.","IWATANI CORPORATION","JP",2,"OTHERS",358274,2,179137,"Japan"
"747","N.T. PHILIPPINES INC.","NTK CERAMIC CO., LTD.","JP",2,"OTHERS",11296741,512,22063.947265625,"Japan"
"748","BRENNTAG INGREDIENTS INC.","BRENNTAG SDN BHD","MY",2,"OTHERS",415580,1500,277.053333333333,"Malaysia"
"749","NIDEC SUBIC PHILIPPINES CORPORATION","KAKEN TECH CO LTD","JP",2,"ADHESIVE",334268,19,17593.0526315789,"Japan"
"750","NIDEC PHILIPPINES CORPORATION","KAKEN TECH CO., LTD","JP",2,"ADHESIVE",326137,19,17165.1052631579,"Japan"
"751","ASTEC POWER PHILIPPINES INC","ASTEC INTERNATIONAL LTD.","HK",2,"GLUE",749190,20,37459.5,"Hong Kong SAR China"
